Product_Name,product_tags,Product category,url,image_url
AIS physical shore stations,"AIS transponder, Autonomous Navigation, Remote Sensing, Underwater Surveillance",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,"https://www.kongsberg.com/contentassets/c8180d2a2fa84181ab714d9bd40d02dc/ais-physical-shore-station-1020x411.jpg?width=750&rxy=0.5,0.5"
AIS service management system,"AIS transponder, Autonomous Navigation, Marine Survey, Underwater Surveillance",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,"https://www.kongsberg.com/contentassets/f3f5d1afd51c47f4b4b77e2e5ca8caf2/ais_cm.jpg?width=750&rxy=0.5,0.5"
AIS space receivers,"Transceiver, Broadband radio, VDES technology, Space, Maritime Communication, Earth observation satellite payload",Communication solutions,https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,"https://www.kongsberg.com/contentassets/b015aabb74e9417899ad8cdfabee5ab1/space_earth_1920x500.jpg?width=1500&rxy=0.5,0.5"
APOS - Operating station for HiPAP and HPR Acoustic positioning systems,"Navigation system, Positioning system, Acoustic Telemetry, Hydroacoustic Positioning, Dynamic Positioning Reference, Subsea Survey",Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/HiPAP-HPR/,"https://www.kongsberg.com/contentassets/e8fdb53f26a3499f95226938012484e8/apos-screen-dump-700x438.jpg?width=500&rxy=0.5,0.5"
APOS Survey - Surveyor's independent Operator Station for HiPAP,"Navigation system, Positioning system, Hydroacoustic Positioning, Inertial Measurement Unit, Dynamic Positioning Reference, Subsea Survey",Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,"https://www.kongsberg.com/contentassets/f1b704ed2cbd465fa634747480050111/apos-screen-700x346.jpg?width=500&rxy=0.5,0.5"
Acoustic control system for BOP operation,"Acoustic Control System, Acoustic Telemetry Link, BOP operation, Remote Sensing, Underwater Surveillance",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,"https://www.kongsberg.com/contentassets/4b95710e4f32457ba2025065bfdd294a/acs-500.jpg?width=1500&rxy=0.5,0.5"
Analytics,"Data Management, Quality Assurance, AI classification, Cloud-Based, Ocean Exploration, Environmental Monitoring",Cloud solution,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,"https://www.kongsberg.com/contentassets/b26de616851340b1a38ba5a296e083fe/blue_insight_illustration_1601x674.jpg?width=1500&rxy=0.5,0.5"
Aquaculture monitoring system,"Echo Sounder System, Oceanographic Instrument, Split-Beam Transducer, Wideband Technology, Environmental Monitoring, Fish Stock Assessment",Fishery & ocean research,https://www.kongsberg.com/maritime/products/commercial-fisheries/aquaculture-monitoring-systems/aquaculture-monitoring-system/,"https://www.kongsberg.com/contentassets/db25e65a36004f3d92ebe7ec3520bc7d/aquaculture-monitoring-1020x535.jpg?width=500&rxy=0.5,0.5"
"Automatic Identification System, AIS","AIS transponder, Autonomous Navigation, Underwater Surveillance, Remote Sensing",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,"https://www.kongsberg.com/contentassets/bf03b9a2bb594e808781c4a1c59eee4a/ais-300-700x403.jpg?width=500&rxy=0.5,0.5"
"Autonomous Underwater Vehicle, HUGIN","Hugin AUV, Sounder USV, 6000 meter, Multibeam Echo sounder, Environmental Monitoring, Maritime Surveillance","Seafloor mapping, Surveillance & monitoring, Naval, Geophysical survey, Autonomous and uncrewed solutions",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG"
